Product,SKU,Supplier Code,Brand,Supplier,Type,Tag,Outlet,Current Stock,Stock Value,Item Value,Reorder Point,Reorder Amount
"""H"" Car Decal / Crimson",2722,QUALIT,5 Accessories,Quality,180 Accessories > Other,,Basement,478,853.83228,1.78626,50,400
'H' Tank Top / L / Black,4410,COMPRI,Clearance,Comprint,"010 Apparel > T-shirts, Tanks",,Basement,0,0,5.69,0,0
'H' Tank Top / M / Black,4409,COMPRI,Clearance,Comprint,"010 Apparel > T-shirts, Tanks",,Basement,0,0,5.69,0,0
'H' Tank Top / S / Black,4408,COMPRI,Clearance,Comprint,"010 Apparel > T-shirts, Tanks",,Basement,0,0,5.69,0,0
'H' Tank Top / XL / Black,4411,COMPRI,Clearance,Comprint,"010 Apparel > T-shirts, Tanks",,Basement,28,157.64,5.63,0,0
1636 Shield Hat / Black,11159,,4 Fall 2017 Collection,Quality,030 Apparel > Hats,,Basement,13,84.37,6.49,0,0
16H36 Harvard Hat / Crimson,10887,,3 Classic Collection,Bay State Apparel,030 Apparel > Hats,,Basement,54,256.5,4.75,0,0
16H36 Harvard Hat / White,10888,,3 Classic Collection,Bay State Apparel,030 Apparel > Hats,,Basement,49,232.75,4.75,0,0
3-in-1 LED Stylus Pen / Black,10857,,5 Accessories,LXG,130 Accessories > Stationery,,Basement,-36,-140.12388,3.89233,0,0
3-in-1 LED Stylus Pen / Crimson,10856,,5 Accessories,LXG,130 Accessories > Stationery,,Basement,-15,-58.38495,3.89233,0,0
Applique Sweatshirt / L / Charcoal,272,OURAY,Clearance,Ouray,021 Apparel > Sweatshirts > Crewneck,,Basement,0,0,10,24,48
Applique Sweatshirt / L / Crimson,10039,OURAY,Clearance,Ouray,021 Apparel > Sweatshirts > Crewneck,,Basement,0,0,23.61,0,0
Applique Sweatshirt / M / Charcoal,271,OURAY,Clearance,Ouray,021 Apparel > Sweatshirts > Crewneck,,Basement,0,0,10,0,0
Applique Sweatshirt / M / Crimson,10038,OURAY,Clearance,Ouray,021 Apparel > Sweatshirts > Crewneck,,Basement,0,0,10,0,0
Applique Sweatshirt / S / Charcoal,270,OURAY,Clearance,Ouray,021 Apparel > Sweatshirts > Crewneck,,Basement,0,0,10,0,0
Applique Sweatshirt / S / Crimson,10037,OURAY,Clearance,Ouray,021 Apparel > Sweatshirts > Crewneck,,Basement,0,0,10,0,0
Applique Sweatshirt / XL / Charcoal,273,OURAY,Clearance,Ouray,021 Apparel > Sweatshirts > Crewneck,,Basement,5,135.1219,27.02438,24,0
Applique Sweatshirt / XL / Crimson,10040,OURAY,Clearance,Ouray,021 Apparel > Sweatshirts > Crewneck,,Basement,16,377.76,23.61,24,0
Applique Sweatshirt / XS / Charcoal,274,OURAY,Clearance,Ouray,021 Apparel > Sweatshirts > Crewneck,,Basement,0,0,23.61,0,0
Applique Sweatshirt / XS / Crimson,10036,OURAY,Clearance,Ouray,021 Apparel > Sweatshirts > Crewneck,,Basement,0,0,10,0,0
Applique Sweatshirt / XXL / Charcoal,10041,OURAY,Clearance,Ouray,021 Apparel > Sweatshirts > Crewneck,,Basement,-1,-23.61,23.61,0,0
Applique Sweatshirt / XXL / Crimson,10042,OURAY,Clearance,Ouray,021 Apparel > Sweatshirts > Crewneck,,Basement,0,0,23.61,0,0
Athletic Shield Sweatshirt / L,10536,,Clearance,Comprint,021 Apparel > Sweatshirts > Crewneck,,Basement,-1,-9.47,9.47,0,0
Athletic Shield Sweatshirt / M,10535,,Clearance,Comprint,021 Apparel > Sweatshirts > Crewneck,,Basement,0,0,10,0,0
Athletic Shield Sweatshirt / S,10515,,Clearance,Comprint,021 Apparel > Sweatshirts > Crewneck,,Basement,0,0,8.94,0,0
Athletic Shield Sweatshirt / XL,10537,,Clearance,Comprint,021 Apparel > Sweatshirts > Crewneck,,Basement,6,56.36574,9.39429,0,0
Bird's Eye View of Harvard Campus Vintage Photo / 1 Photo,2990,TOEGOZ,Clearance,ICONCEPT,"190 Accessories > Postcards, Photos",,Basement,0,0,10.3,0,0
"Black ""Harvard"" Beanie / Black",10708,,3 Classic Collection,Bay State Apparel,030 Apparel > Hats,,Basement,48,192,4,12,24
Black & White Postcard,1142,ICONCP,Clearance,ICONCEPT,"190 Accessories > Postcards, Photos",,Basement,1518,546.48,0.36,200,0
Black H Beanie,10923,,3 Classic Collection,Bay State Apparel,030 Apparel > Hats,,Basement,48,240,5,0,0
Boston Apparel Company T-Shirt / L / Navy,60086,,Clearance,Quality Graphics,"010 Apparel > T-shirts, Tanks",,Basement,21,105,5,0,0
Boston Apparel Company T-Shirt / M / Navy,60085,,Clearance,Quality Graphics,"010 Apparel > T-shirts, Tanks",,Basement,4,20,5,0,0
Boston Apparel Company T-Shirt / S / Navy,60084,,Clearance,Quality Graphics,"010 Apparel > T-shirts, Tanks",,Basement,31,155,5,0,0
Boston Apparel Company T-Shirt / XL / Navy,60087,,Clearance,Quality Graphics,"010 Apparel > T-shirts, Tanks",,Basement,19,95,5,0,0
Boston College T-Shirt / Large,60057,,Clearance,Alan Freedman Enterprises,"010 Apparel > T-shirts, Tanks",,Basement,4,24,6,0,0
Boston College T-Shirt / Medium,60056,,Clearance,Alan Freedman Enterprises,"010 Apparel > T-shirts, Tanks",,Basement,5,30,6,0,0
Boston College T-Shirt / Small,60055,,Clearance,Alan Freedman Enterprises,"010 Apparel > T-shirts, Tanks",,Basement,4,24,6,0,0
Boston College T-Shirt / X-Large,60058,,Clearance,Alan Freedman Enterprises,"010 Apparel > T-shirts, Tanks",,Basement,6,36,6,0,0
Boston Hooded Sweatshirt / Heather / Large,60002,,Clearance,Alan Freedman Enterprises,022 Apparel > Sweatshirts > Hooded,,Basement,0,0,10,0,0
Boston Hooded Sweatshirt / Heather / Medium,60001,,Clearance,Alan Freedman Enterprises,022 Apparel > Sweatshirts > Hooded,,Basement,0,0,10,0,0
Boston Hooded Sweatshirt / Heather / Small,60000,,Clearance,Alan Freedman Enterprises,022 Apparel > Sweatshirts > Hooded,,Basement,0,0,10,0,0
