Product,SKU,Supplier Code,Brand,Supplier,Type,Tag,Outlet,Current Stock,Stock Value,Item Value,Reorder Point,Reorder Amount
"""H"" Car Decal / Crimson",2722,QUALIT,5 Accessories,Quality,180 Accessories > Other,,Mt Auburn,0,0,1.25,10,10
'H' Tank Top / L / Black,4410,COMPRI,Clearance,Comprint,"010 Apparel > T-shirts, Tanks",,Mt Auburn,0,0,5.69,0,0
'H' Tank Top / M / Black,4409,COMPRI,Clearance,Comprint,"010 Apparel > T-shirts, Tanks",,Mt Auburn,0,0,5.69,0,0
'H' Tank Top / S / Black,4408,COMPRI,Clearance,Comprint,"010 Apparel > T-shirts, Tanks",,Mt Auburn,0,0,5.69,0,0
'H' Tank Top / XL / Black,4411,COMPRI,Clearance,Comprint,"010 Apparel > T-shirts, Tanks",,Mt Auburn,0,0,5.63,0,0
1636 Shield Hat / Black,11159,,4 Fall 2017 Collection,Quality,030 Apparel > Hats,,Mt Auburn,21,136.29,6.49,0,0
16H36 Harvard Hat / Crimson,10887,,3 Classic Collection,Bay State Apparel,030 Apparel > Hats,,Mt Auburn,2,9.5,4.75,0,0
16H36 Harvard Hat / White,10888,,3 Classic Collection,Bay State Apparel,030 Apparel > Hats,,Mt Auburn,2,9.5,4.75,0,0
3-in-1 LED Stylus Pen / Black,10857,,5 Accessories,LXG,130 Accessories > Stationery,,Mt Auburn,10,38.9373,3.89373,0,0
3-in-1 LED Stylus Pen / Crimson,10856,,5 Accessories,LXG,130 Accessories > Stationery,,Mt Auburn,9,35.03106,3.89234,0,0
Applique Sweatshirt / L / Charcoal,272,OURAY,Clearance,Ouray,021 Apparel > Sweatshirts > Crewneck,,Mt Auburn,0,0,26.95,2,2
Applique Sweatshirt / L / Crimson,10039,OURAY,Clearance,Ouray,021 Apparel > Sweatshirts > Crewneck,,Mt Auburn,-1,-26.93,26.93,2,2
Applique Sweatshirt / M / Charcoal,271,OURAY,Clearance,Ouray,021 Apparel > Sweatshirts > Crewneck,,Mt Auburn,-2,-47.22,23.61,2,2
