id,handle,sku,name,variant_option_one_name,variant_option_one_value,variant_option_two_name,variant_option_two_value,variant_option_three_name,variant_option_three_value,supplier_name,active,inventory_Basement,inventory_Garage,inventory_JFK,inventory_Mt_Auburn,inventory_Quality_Graphics
00796637-a238-11e2-b2b4-bc764e10976c,racerbacktank,10025,Harvard Racerback Tank,Size,S,,,,,MyU,1,0,0,0,0,0
1321540b-a238-11e2-b2b4-bc764e10976c,racerbacktank,10026,Harvard Racerback Tank,Size,M,,,,,MyU,1,0,0,0,0,0
1db56acf-a238-11e2-b2b4-bc764e10976c,racerbacktank,10027,Harvard Racerback Tank,Size,L,,,,,MyU,1,65,0,0,0,0
22ecd2a7-a238-11e2-b2b4-bc764e10976c,racerbacktank,10028,Harvard Racerback Tank,Size,XL,,,,,MyU,1,35,0,0,0,0
0129609e-7581-11e3-a29a-bc305bf5da20,SmartWatersmall,10258,Smart Water 20 OZ.,,,,,,,Coke,1,0,0,0,0,0
022894d1-fd3d-11e7-e6e7-925c08ba6a56,harvardcrestmug,11213,Harvard Crest Mug,Color,White,,,,,Quality,1,37,5,7,7,72
022894d1-fd3d-11e7-e6e7-925c09299b5d,harvardcrestmug,11214,Harvard Crest Mug,Color,Crimson,,,,,Quality,1,63,10,6,4,-36
022894d1-fd3d-11e7-e6e7-995a2d7bdf52,CrestSpeckledMug,10824,Crest Speckled Mug,Color,Crimson,,,,,Quality,1,39,1,3,2,76
022894d1-fd3d-11e7-e6e7-9a80e3db4a11,FreeIn-StorePickupHarvardStudentsONLY,FreeIn-StorePickupHarvardStudentsONLY,Free In-Store Pickup (Harvard Students ONLY),,,,,,,Freight,1,0,0,0,0,0
022894d1-fd3d-11e7-e6e7-9c7383d0e242,IvoryTerryCrew,11216,Ivory Terry Crew,Color,Ivory,Size,XS,,,Apparel Empire,1,44,2,3,5,0
022894d1-fd3d-11e7-e6e7-9c738415c37a,IvoryTerryCrew,11217,Ivory Terry Crew,Color,Ivory,Size,S,,,Apparel Empire,1,45,-1,0,2,0
022894d1-fd3d-11e7-e6e7-9c7384572925,IvoryTerryCrew,11218,Ivory Terry Crew,Color,Ivory,Size,M,,,Apparel Empire,1,36,6,2,2,0
022894d1-fd3d-11e7-e6e7-9c73849f1ec8,IvoryTerryCrew,11219,Ivory Terry Crew,Color,Ivory,Size,L,,,Apparel Empire,1,31,1,3,-1,0
022894d1-fd3d-11e7-e6e7-9c7384e5a3aa,IvoryTerryCrew,11220,Ivory Terry Crew,Color,Ivory,Size,XL,,,Apparel Empire,1,28,3,3,1,0
022894d1-fd3d-11e7-e6e7-9c73d3262b58,TheHarrisonJacket,11221,"The ""Harrison"" Jacket",Color,Crimson,Size,XS,,,Apparel Empire,1,42,2,0,1,0
022894d1-fd3d-11e7-e6e7-9c73d37039dc,TheHarrisonJacket,11222,"The ""Harrison"" Jacket",Color,Crimson,Size,S,,,Apparel Empire,1,45,2,0,1,0
022894d1-fd3d-11e7-e6e7-9c73d3c20fc4,TheHarrisonJacket,11223,"The ""Harrison"" Jacket",Color,Crimson,Size,M,,,Apparel Empire,1,43,4,0,3,0
022894d1-fd3d-11e7-e6e7-9c73d404b4a4,TheHarrisonJacket,11224,"The ""Harrison"" Jacket",Color,Crimson,Size,L,,,Apparel Empire,1,33,1,0,1,0
022894d1-fd3d-11e7-e6e7-9c73d4462946,TheHarrisonJacket,11225,"The ""Harrison"" Jacket",Color,Crimson,Size,XL,,,Apparel Empire,1,27,2,0,-1,0
022894d1-fd3d-11e7-e6e7-a3ae3e2e8a01,FreeIn-StorePickupH-SweaterPurchasesbyHarvardStudentsONLY,FreeIn-StorePickupH-SweaterPurchasesbyHarvardStudentsONLY,Free In-Store Pickup (H-Sweater Purchases by Harvard Students ONLY),,,,,,,Freight,1,0,0,0,0,0
022894d1-fd3d-11e7-e6e7-a7aa04b74294,HarvardBistroMug,11237,Harvard Bistro Mug,Color,Ivory,,,,,Quality,1,4,1,0,-2,0
022894d1-fd3d-11e7-e6e7-a7aaf22e48ed,HarvardCrestPintGlass,2035,Harvard Crest Pint Glass,,,,,,,,1,63,3,0,4,78
022894d1-fd3d-11e7-e6e7-a7ac8cc78d8d,HarvardLadiesFlannelPants,11239,Harvard Ladies Flannel Pants,Color,Crimson,Size,S,,,Concepts Sport,1,14,4,4,6,0
022894d1-fd3d-11e7-e6e7-a7ac8d0f7fcf,HarvardLadiesFlannelPants,11240,Harvard Ladies Flannel Pants,Color,Crimson,Size,M,,,Concepts Sport,1,31,2,2,6,0
022894d1-fd3d-11e7-e6e7-a7ac8d6a5684,HarvardLadiesFlannelPants,11241,Harvard Ladies Flannel Pants,Color,Crimson,Size,L,,,Concepts Sport,1,19,2,3,5,0
022894d1-fd3d-11e7-e6e7-a7ac8dc9bd1f,HarvardLadiesFlannelPants,11242,Harvard Ladies Flannel Pants,Color,Crimson,Size,XL,,,Concepts Sport,1,8,2,3,5,0
022894d1-fd3d-11e7-e6e7-b50508fab771,HarvardSnowflakeScarf,11243,Harvard Snowflake Scarf,Color,Crimson,,,,,Ouray,1,3,4,-3,5,0
022894d1-fd3d-11e7-e6e7-b5075da94c71,HarvardHShieldPin,882,Harvard H Shield Pin,Color,Crimson,,,,,Pin Badge Maker Company,1,827,18,5,1,0
022894d1-fd3d-11e7-e6e7-b50999b177f7,HarvardBusinessSchoolPin,872,Harvard Business School Pin,Color,Crimson,,,,,Pin Badge Maker Company,1,1049,19,24,-2,0
